last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Hosmer, Eric,543333,2019,163,40,99,263,0,160,72,
Kipnis, Jason,543401,2019,88,40,65,188,7,121,52,
Rendon, Anthony,543685,2019,86,80,126,326,5,146,117,
Semien, Marcus,543760,2019,102,87,92,343,10,162,123,
Springer III, George,543807,2019,113,67,96,283,6,122,96,
Vazquez, Christian,543877,2019,101,33,72,230,4,138,66,
Wong, Kolten,543939,2019,83,47,59,202,24,148,61,
Garcia, Leury,544725,2019,139,21,40,218,15,140,93,
Grichuk, Randal,545341,2019,163,35,80,268,2,151,75,
Trout, Mike,545361,2019,120,110,104,303,11,134,110,
Harper, Bryce,547180,2019,178,99,114,292,15,157,98,
Abreu, Jose,547989,2019,152,36,123,319,2,159,85,
Suarez, Eugenio,553993,2019,189,70,103,329,3,159,87,
Santana, Domingo,570267,2019,164,50,69,199,8,121,63,
Sanchez, Carlos,570560,2019,117,44,43,159,5,149,59,
Arenado, Nolan,571448,2019,93,62,118,343,3,155,102,
Muncy, Max,571970,2019,149,90,98,251,4,141,101,
Voit III, Luke,572228,2019,142,71,62,199,0,118,72,
Walker, Christian,572233,2019,155,67,73,252,8,152,86,
Iglesias, Jose,578428,2019,70,20,59,205,6,146,62,
Bryant, Kris,592178,2019,145,74,77,283,4,147,108,
Castellanos, Nick,592206,2019,143,41,73,323,2,151,100,
Machado, Manny,592518,2019,128,65,85,271,5,156,81,
Moran, Colin,592567,2019,117,30,80,200,0,149,46,
Pederson, Joc,592626,2019,111,50,74,242,1,149,83,
Realmuto, J.T.,592663,2019,123,41,83,265,9,145,92,
Rosario, Eddie,592696,2019,86,22,109,281,3,137,91,
Yelich, Christian,592885,2019,118,80,97,328,30,130,100,
Merrifield, Whit,593160,2019,126,45,74,315,20,162,105,
Bogaerts, Xander,593428,2019,122,76,117,341,4,155,110,
Alberto, Hanser,593643,2019,50,16,51,221,4,139,62,
Polanco, Jorge,593871,2019,116,60,79,306,4,153,107,
Calhoun, Kole,594777,2019,162,70,74,258,4,152,92,
Eaton, Adam,594809,2019,106,65,49,242,15,151,103,
Profar, Jurickson,595777,2019,75,48,67,188,9,139,65,
Baez, Javier,595879,2019,156,28,85,282,11,138,89,
Lindor, Francisco,596019,2019,98,46,74,310,22,143,101,
Odor, Rougned,596059,2019,178,52,93,229,11,145,77,
Story, Trevor,596115,2019,174,58,85,326,23,145,111,
Vogelbach, Daniel,596129,2019,149,92,76,203,0,144,73,
Kepler, Max,596146,2019,99,60,90,272,1,134,98,
Bradley Jr., Jackie,598265,2019,155,56,62,208,8,147,69,
Nunez, Renato,600524,2019,143,44,90,249,1,151,72,
Ahmed, Nick,605113,2019,113,52,82,243,8,158,79,
Anderson, Brian,605119,2019,114,44,66,215,5,126,57,
Bell, Josh,605137,2019,118,74,116,300,0,143,94,
Betts, Mookie,605141,2019,101,97,80,313,16,150,135,
Smith, Mallex,605480,2019,141,42,37,171,46,134,70,
Arcia, Orlando,606115,2019,109,43,59,173,8,152,51,
Marte, Ketel,606466,2019,86,53,92,337,10,144,97,
Turner, Trea,607208,2019,113,43,57,259,35,122,96,
Pillar, Kevin,607680,2019,89,18,88,264,14,161,83,
Ramirez, Jose,608070,2019,74,52,83,231,24,129,68,
Bregman, Alex,608324,2019,83,119,112,328,5,156,122,
Seager, Corey,608369,2019,98,44,87,236,1,134,82,
Reyes, Franmil,614177,2019,156,47,81,253,0,150,69,
Swanson, Dansby,621020,2019,124,51,65,204,10,127,77,
Newman, Kevin,621028,2019,62,28,64,220,16,130,61,
Olson, Matt,621566,2019,138,51,91,263,0,127,73,
Alonso, Pete,624413,2019,183,72,120,348,1,161,103,
Conforto, Michael,624424,2019,149,84,92,271,7,151,90,
Frazier, Adam,624428,2019,75,40,50,231,5,152,80,
Puig, Yasiel,624577,2019,133,44,84,254,19,149,76,
Soler, Jorge,624585,2019,178,73,117,335,3,162,95,
Meadows, Austin,640457,2019,131,54,89,296,12,138,83,
Anderson, Tim,641313,2019,109,15,56,253,17,123,81,
Bellinger, Cody,641355,2019,108,95,115,351,15,156,121,
Dozier, Hunter,641531,2019,148,55,84,273,2,139,75,
Mancini III, Trey,641820,2019,143,63,97,322,1,154,106,
McMahon, Ryan,641857,2019,160,56,83,216,5,141,70,
Rosario, Amed,642708,2019,124,31,72,266,19,157,75,
Adames, Willy,642715,2019,153,46,52,222,4,152,69,
Benintendi, Andrew,643217,2019,140,59,68,233,10,138,72,
McNeil, Jeff,643446,2019,75,35,75,271,5,133,83,
Albies, Ozzie,645277,2019,112,54,86,320,15,160,102,
Robles, Victor,645302,2019,140,35,65,229,28,155,86,
Devers, Rafael,646240,2019,119,48,115,359,8,156,129,
Jimenez, Eloy,650391,2019,134,30,79,240,0,122,69,
Torres, Gleyber,650402,2019,129,48,90,292,5,144,96,
Chapman, Matt,656305,2019,147,73,91,295,1,156,102,
Hoskins, Rhys,656555,2019,173,116,85,259,2,160,86,
Schwarber, Kyle,656941,2019,156,70,92,281,2,155,82,
DeJong, Paul,657557,2019,149,62,78,259,9,159,97,
Moncada, Yoan,660162,2019,154,40,79,280,10,132,83,
Acuna Jr., Ronald,660670,2019,188,76,101,324,37,156,127,
Fletcher, David,664058,2019,64,55,49,229,8,154,83,
Guerrero Jr., Vladimir,665489,2019,91,46,69,201,0,123,52,
Soto, Juan,665742,2019,132,108,110,297,12,150,110,
Reynolds, Bryan,668804,2019,121,46,68,247,3,134,83,
